1,Toy Story,Animation|Children's|Comedy,4.147,1995-11-19,fall
2,Jumanji,Adventure|Children's|Fantasy,3.201,1995-12-15,winter
3,Grumpier Old Men,Comedy|Romance,3.017,1995-12-22,winter
4,Waiting to Exhale,Comedy|Drama,2.729,1995-12-22,winter
5,Father of the Bride Part II,Comedy,3.007,1995-12-08,winter
8,Tom and Huck,Adventure|Children's,3.015,1995-12-22,winter
10,GoldenEye,Action|Adventure|Thriller,3.541,1995-11-14,fall
11,The American President,Comedy|Drama|Romance,3.794,1995-11-17,fall
12,Dracula: Dead and Loving It,Comedy|Horror,2.362,1995-12-22,winter
15,Cutthroat Island,Action|Adventure|Romance,2.459,1995-12-22,winter
18,Four Rooms,Thriller,3.338,1995-12-25,winter
19,Ace Ventura: When Nature Calls,Comedy,2.481,1995-11-08,fall
20,Money Train,Action,2.538,1995-11-22,fall
25,Leaving Las Vegas,Drama|Romance,3.651,1995-10-27,fall
29,The City of Lost Children,Adventure|Sci-Fi,4.062,1995-05,spring
31,Dangerous Minds,Drama,3.113,1995-08-11,summer
32,Twelve Monkeys,Drama|Sci-Fi,3.946,1995-12-29,winter
33,Wings of Courage,Adventure|Romance,3.0,1995-04-21,spring
37,Across the Sea of Time,Documentary,3.5,1995-10-20,fall
39,Clueless,Comedy|Romance,3.623,1995-07-19,summer
42,Dead Presidents,Action|Crime|Drama,2.869,1995-10-04,fall
45,To Die For,Comedy|Drama,3.425,1995-05-20,spring
49,When Night Is Falling,Drama|Romance,3.741,1995-05-05,spring
50,The Usual Suspects,Crime|Thriller,4.517,1995-01-25,winter
52,Mighty Aphrodite,Comedy,3.64,1995-10-27,fall
53,Lamerica,Drama,4.75,1994-09-09,fall
54,The Big Green,Children's|Comedy,2.561,1995-09-29,fall
59,The Confessional,Drama|Mystery,2.75,1995-08-24,summer
62,Mr. Holland's Opus,Drama,3.697,1995-12-29,winter
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,2.856,1996-01-12,winter
65,Bio-Dome,Comedy,2.063,1996-01-12,winter
66,Lawnmower Man 2: Beyond Cyberspace,Sci-Fi|Thriller,1.67,1996-01-12,winter
67,Two Bits,Drama,3.25,1995-11-22,fall
70,From Dusk Till Dawn,Action|Comedy|Crime|Horror|Thriller,3.156,1996-01-19,winter
78,The Crossing Guard,Drama,3.26,1995-11-16,fall
79,The Juror,Drama|Thriller,2.605,1996-02-02,winter
82,Antonia's Line,Drama,3.876,1995-09-12,fall
83,Once Upon a Time... When We Were Colored,Drama,3.697,1996-01-26,winter
85,Angels and Insects,Drama|Romance,3.402,1995-11-05,fall
87,Dunston Checks In,Children's|Comedy,2.211,1996-01-12,winter
90,The Journey of August King,Drama,3.667,1995-09-09,fall
93,Vampire in Brooklyn,Comedy|Romance,2.236,1995-10-27,fall
99,Heidi Fleiss: Hollywood Madam,Documentary,3.46,1995-12-27,winter
101,Bottle Rocket,Comedy,3.87,1996-02-21,winter
102,Mr. Wrong,Comedy,1.817,1996-02-16,winter
104,Happy Gilmore,Comedy,3.526,1996-02-16,winter
107,Muppet Treasure Island,Adventure|Children's|Comedy|Musical,3.148,1996-02-16,winter
109,Headless Body in Topless Bar,Comedy,0.0,1995-05-20,spring
110,Braveheart,Action|Drama|War,4.235,1995-05-18,spring
111,Taxi Driver,Drama|Thriller,4.184,1976-02-08,winter
112,Rumble in the Bronx,Action|Adventure|Crime,3.444,1995-01-21,winter
114,Margaret's Museum,Drama,3.091,1995-09-13,fall
118,If Lucy Fell,Comedy|Romance,3.074,1996-03-08,spring
119,"Steal Big, Steal Little",Comedy,2.462,1995-09-29,fall
123,Chungking Express,Drama|Mystery|Romance,3.87,1994-07-14,summer
126,The NeverEnding Story III,Adventure|Children's|Fantasy,1.99,1994-10-27,fall
131,Frankie Starlight,Drama|Romance,3.062,1995-11-22,fall
133,Nueba Yol,Comedy|Drama,1.0,1995-08-16,summer
135,Down Periscope,Comedy,2.812,1996-03-01,spring
141,The Birdcage,Comedy,3.55,1996-03-08,spring
143,Gospa,Drama,0.0,1995-10-13,fall
144,The Brothers McMullen,Comedy,3.393,1995-01,winter
146,The Amazing Panda Adventure,Adventure|Children's,2.889,1995-08-25,summer
152,The Addiction,Horror,3.0,1995-01-25,winter
153,Batman Forever,Action|Adventure|Comedy|Crime,2.642,1995-06-09,summer
155,Beyond Rangoon,Drama|War,3.414,1995-06-30,summer
157,Canadian Bacon,Comedy|War,2.733,1995-09-22,fall
165,Die Hard: With a Vengeance,Action|Thriller,3.561,1995-05-19,spring
166,The Doom Generation,Comedy|Drama,2.459,1995-01-26,winter
167,Feast of July,Drama,3.6,1995-10-13,fall
168,First Knight,Action|Adventure|Drama|Romance,2.95,1995-07-07,summer
169,Free Willy 2: The Adventure Home,Adventure|Children's|Drama,2.018,1995-07-19,summer
177,Lord of Illusions,Horror,2.734,1995-08-25,summer
180,Mallrats,Comedy,3.548,1995-10-20,fall
